"","age","job","education","month","day_of_week","duration","campaign","pdays","previous","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
"58",52,"admin.","university.degree","may","mon",197,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"59",52,"admin.","university.degree","may","mon",190,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"60",34,"housemaid","basic.6y","may","mon",300,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"61",35,"admin.","high.school","may","mon",123,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"62",35,"services","high.school","may","mon",194,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"63",37,"management","university.degree","may","mon",337,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"64",36,"blue-collar","high.school","may","mon",286,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"65",52,"admin.","university.degree","may","mon",247,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"66",49,"blue-collar","high.school","may","mon",439,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"67",41,"services","high.school","may","mon",139,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"68",45,"technician","high.school","may","mon",79,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"69",32,"admin.","university.degree","may","mon",175,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"70",42,"admin.","university.degree","may","mon",262,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"71",50,"admin.","basic.6y","may","mon",61,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"72",31,"technician","professional.course","may","mon",78,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"73",56,"retired","basic.4y","may","mon",102,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"74",37,"blue-collar","basic.6y","may","mon",143,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"75",37,"blue-collar","basic.6y","may","mon",345,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"76",52,"management","university.degree","may","mon",185,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"77",39,"management","university.degree","may","mon",207,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"78",34,"services","high.school","may","mon",125,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"79",43,"unemployed","university.degree","may","mon",240,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"80",39,"management","university.degree","may","mon",193,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"81",53,"blue-collar","basic.4y","may","mon",136,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"82",35,"admin.","high.school","may","mon",338,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"83",51,"blue-collar","basic.4y","may","mon",87,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"84",36,"blue-collar","basic.9y","may","mon",98,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"85",43,"technician","professional.course","may","mon",186,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"86",59,"services","high.school","may","mon",579,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"87",24,"management","university.degree","may","mon",165,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"88",37,"entrepreneur","basic.6y","may","mon",85,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"89",38,"services","high.school","may","mon",506,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"90",54,"management","university.degree","may","mon",843,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"91",45,"technician","university.degree","may","mon",292,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"92",43,"services","high.school","may","mon",93,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"93",46,"management","basic.9y","may","mon",128,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"94",44,"services","high.school","may","mon",107,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"95",51,"admin.","basic.6y","may","mon",303,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"96",28,"services","high.school","may","mon",81,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"97",37,"blue-collar","basic.9y","may","mon",270,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"98",34,"technician","high.school","may","mon",228,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"99",42,"blue-collar","basic.9y","may","mon",673,2,999,0,1.1,93.994,-36.4,4.857,5191,"yes"
"100",36,"admin.","university.degree","may","mon",233,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"101",57,"management","university.degree","may","mon",461,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"102",34,"admin.","university.degree","may","mon",138,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"103",41,"technician","professional.course","may","mon",412,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"104",38,"blue-collar","basic.9y","may","mon",179,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"105",45,"management","university.degree","may","mon",19,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"106",42,"technician","university.degree","may","mon",228,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"107",48,"blue-collar","basic.4y","may","mon",717,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"108",43,"blue-collar","basic.6y","may","mon",1077,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"109",33,"services","high.school","may","mon",146,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"110",32,"services","basic.6y","may","mon",167,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"111",39,"blue-collar","high.school","may","mon",356,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"112",44,"blue-collar","basic.9y","may","mon",172,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"113",35,"unemployed","professional.course","may","mon",67,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"114",36,"services","basic.4y","may","mon",291,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"115",36,"student","basic.9y","may","mon",256,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"116",55,"housemaid","university.degree","may","mon",286,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"117",59,"admin.","university.degree","may","mon",477,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"118",40,"services","high.school","may","mon",322,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"119",35,"admin.","high.school","may","mon",216,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"120",40,"technician","basic.9y","may","mon",168,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"121",58,"retired","university.degree","may","mon",132,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"122",42,"technician","university.degree","may","mon",64,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"123",35,"admin.","university.degree","may","mon",209,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"124",45,"blue-collar","basic.4y","may","mon",177,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"125",39,"admin.","professional.course","may","mon",580,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"126",50,"services","professional.course","may","mon",165,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"127",44,"admin.","professional.course","may","mon",300,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"128",56,"blue-collar","basic.4y","may","mon",136,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"129",48,"admin.","high.school","may","mon",125,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"130",57,"retired","high.school","may","mon",238,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"131",36,"technician","professional.course","may","mon",124,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"132",34,"management","university.degree","may","mon",18,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"133",34,"services","basic.9y","may","mon",730,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"134",32,"technician","professional.course","may","mon",79,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"135",36,"technician","high.school","may","mon",142,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"136",36,"blue-collar","high.school","may","mon",389,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"137",33,"services","high.school","may","mon",702,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"138",40,"technician","professional.course","may","mon",151,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"139",41,"blue-collar","basic.4y","may","mon",211,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"140",51,"services","basic.6y","may","mon",117,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"141",36,"technician","professional.course","may","mon",232,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"142",53,"services","high.school","may","mon",370,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"143",45,"management","basic.9y","may","mon",46,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"144",33,"admin.","high.school","may","mon",50,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"145",33,"admin.","high.school","may","mon",181,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"146",42,"technician","high.school","may","mon",361,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"147",43,"admin.","basic.9y","may","mon",73,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"148",42,"admin.","university.degree","may","mon",67,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"149",27,"blue-collar","basic.6y","may","mon",350,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"150",34,"self-employed","university.degree","may","mon",150,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"151",54,"management","university.degree","may","mon",611,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"152",47,"management","university.degree","may","mon",89,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"153",32,"admin.","high.school","may","mon",611,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"154",34,"services","high.school","may","mon",962,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"155",47,"technician","basic.9y","may","mon",10,4,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"156",51,"retired","professional.course","may","mon",118,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"157",47,"blue-collar","basic.6y","may","mon",92,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"158",56,"technician","basic.4y","may","mon",143,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"159",53,"admin.","basic.9y","may","mon",189,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"160",36,"blue-collar","basic.9y","may","mon",75,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"161",42,"blue-collar","basic.9y","may","mon",189,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"162",44,"blue-collar","basic.6y","may","mon",55,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"163",39,"housemaid","basic.9y","may","mon",935,3,999,0,1.1,93.994,-36.4,4.857,5191,"yes"
"164",37,"admin.","high.school","may","mon",56,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"165",36,"services","high.school","may","mon",225,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"166",42,"management","university.degree","may","mon",125,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"167",31,"admin.","high.school","may","mon",286,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"168",45,"blue-collar","basic.4y","may","mon",164,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"169",37,"technician","professional.course","may","mon",98,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"170",47,"self-employed","professional.course","may","mon",446,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"171",49,"blue-collar","high.school","may","mon",742,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"172",36,"admin.","university.degree","may","mon",120,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"173",35,"services","high.school","may","mon",122,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"174",42,"admin.","high.school","may","mon",248,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"175",57,"housemaid","basic.4y","may","mon",205,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"176",42,"admin.","university.degree","may","mon",261,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"177",41,"blue-collar","basic.4y","may","mon",83,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"178",54,"management","university.degree","may","mon",106,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"179",27,"admin.","university.degree","may","mon",106,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"180",36,"admin.","high.school","may","mon",108,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"181",33,"admin.","high.school","may","mon",364,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"182",56,"retired","basic.6y","may","mon",136,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"183",42,"blue-collar","basic.9y","may","mon",173,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"184",43,"services","high.school","may","mon",241,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"185",54,"management","basic.9y","may","mon",224,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"186",53,"admin.","basic.6y","may","mon",148,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"187",54,"technician","professional.course","may","mon",196,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"188",40,"housemaid","professional.course","may","mon",111,4,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"189",26,"admin.","university.degree","may","mon",231,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"190",33,"admin.","high.school","may","mon",316,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"191",36,"admin.","high.school","may","mon",669,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"192",29,"services","high.school","may","mon",425,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"193",36,"blue-collar","basic.9y","may","mon",121,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"194",35,"management","high.school","may","mon",174,5,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"195",50,"self-employed","university.degree","may","mon",88,5,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"196",49,"entrepreneur","high.school","may","mon",135,4,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"197",36,"blue-collar","high.school","may","mon",402,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"198",32,"services","high.school","may","mon",158,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"199",49,"admin.","basic.9y","may","mon",220,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"200",58,"blue-collar","basic.4y","may","mon",254,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"201",52,"technician","high.school","may","mon",503,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"202",50,"services","professional.course","may","mon",680,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"203",33,"entrepreneur","university.degree","may","mon",130,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"204",57,"blue-collar","basic.4y","may","mon",164,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"205",55,"technician","professional.course","may","mon",113,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"206",38,"management","university.degree","may","mon",195,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"207",38,"services","high.school","may","mon",347,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"208",53,"admin.","university.degree","may","mon",208,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"209",43,"unemployed","university.degree","may","mon",404,4,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"210",36,"blue-collar","high.school","may","mon",396,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"211",32,"blue-collar","basic.9y","may","mon",98,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"212",33,"services","basic.4y","may","mon",229,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"213",58,"entrepreneur","basic.4y","may","mon",350,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"214",57,"management","university.degree","may","tue",379,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"215",45,"technician","high.school","may","tue",168,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"216",46,"admin.","university.degree","may","tue",158,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"217",36,"technician","university.degree","may","tue",210,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"218",41,"self-employed","high.school","may","tue",102,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"219",57,"admin.","basic.9y","may","tue",306,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"220",56,"management","high.school","may","tue",218,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"221",37,"blue-collar","basic.9y","may","tue",77,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"222",37,"blue-collar","basic.9y","may","tue",54,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"223",46,"admin.","high.school","may","tue",344,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"224",22,"blue-collar","basic.9y","may","tue",195,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"225",43,"services","high.school","may","tue",202,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"226",41,"technician","basic.6y","may","tue",278,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"227",38,"admin.","university.degree","may","tue",189,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"228",33,"admin.","basic.9y","may","tue",83,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"229",49,"admin.","university.degree","may","tue",18,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"230",33,"admin.","basic.9y","may","tue",235,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"231",34,"management","university.degree","may","tue",290,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"232",41,"self-employed","university.degree","may","tue",402,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"233",44,"services","high.school","may","tue",1030,1,999,0,1.1,93.994,-36.4,4.857,5191,"yes"
"234",35,"admin.","university.degree","may","tue",144,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"235",42,"admin.","high.school","may","tue",69,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"236",45,"admin.","basic.9y","may","tue",243,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"237",36,"technician","professional.course","may","tue",769,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"238",29,"blue-collar","basic.4y","may","tue",231,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"239",41,"self-employed","university.degree","may","tue",442,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"240",52,"services","high.school","may","tue",455,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"241",42,"entrepreneur","university.degree","may","tue",154,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"242",52,"services","basic.6y","may","tue",393,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"243",39,"admin.","high.school","may","tue",203,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"244",36,"services","high.school","may","tue",140,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"245",41,"admin.","high.school","may","tue",483,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"246",55,"technician","basic.4y","may","tue",259,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"247",30,"blue-collar","basic.9y","may","tue",227,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"248",27,"services","high.school","may","tue",245,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"249",34,"technician","university.degree","may","tue",186,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"250",43,"entrepreneur","basic.4y","may","tue",623,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"251",49,"blue-collar","basic.9y","may","tue",102,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"252",58,"management","basic.6y","may","tue",342,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"253",43,"technician","professional.course","may","tue",225,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"254",43,"self-employed","university.degree","may","tue",87,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"255",30,"self-employed","university.degree","may","tue",262,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"256",27,"services","professional.course","may","tue",271,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"257",37,"technician","professional.course","may","tue",198,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"258",46,"housemaid","basic.9y","may","tue",150,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"259",35,"blue-collar","professional.course","may","tue",241,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"260",47,"admin.","university.degree","may","tue",196,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"261",26,"housemaid","university.degree","may","tue",246,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"262",45,"management","university.degree","may","tue",140,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"263",34,"admin.","basic.9y","may","tue",175,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"264",42,"technician","professional.course","may","tue",1623,1,999,0,1.1,93.994,-36.4,4.857,5191,"yes"
"265",38,"blue-collar","basic.4y","may","tue",144,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"266",60,"management","university.degree","may","tue",451,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
